variant,run,run_id,state,max_epoch,final_psnr,last5_mean_psnr,last5_std_psnr,peak_psnr,best_ssim,mean_epoch_time_s,url,delta_vs_baseline_dB
baseline,nafnet_sidd_baseline,d4d3dceabecec65e,finished,80,39.85622952785709,39.84998859841057,0.007864175031242567,39.85945469632114,0.9245455316267908,678.8121156841516,https://wandb.ai/ctrjmtz-georgia-institute-of-technology/nafnet-sidd/runs/d4d3dceabecec65e,0.0
variant_a,nafnet_sidd_variant_a_ak,d73dd81403745422,finished,80,39.83848424433648,39.82984146270789,0.01210895062508196,39.84011280786872,0.9241163884289563,367.58048513531685,https://wandb.ai/ctrjmtz-georgia-institute-of-technology/nafnet-sidd/runs/d73dd81403745422,-0.02014713570267901
variant_b,nafnet_sidd_variant_b_ctrj,34a01c10a2c13887,finished,80,39.730003748240655,39.720809243002606,0.010743681724081524,39.733553510974374,0.9236148470663466,644.4634716659784,https://wandb.ai/ctrjmtz-georgia-institute-of-technology/nafnet-sidd/runs/34a01c10a2c13887,-0.12917935540796321
variant_c,nafnet_sidd_variant_c_ctrj_b16,395590af68234563,finished,80,39.606688604695,39.582995088481816,0.030233585554413918,39.606688604695,0.921578076435253,500.4970397949219,https://wandb.ai/ctrjmtz-georgia-institute-of-technology/nafnet-sidd/runs/395590af68234563,-0.2669935099287528
